"V1" "V2" "V3"
"269" 100 2511886 269
"270" 100 3981072 270
"271" 100 6309573 271
"272" 100 1e+07 272
"273" 500 1000 273
"274" 500 1585 274
"275" 500 2512 275
"276" 500 3981 276
"277" 500 6310 277
"278" 500 10000 278
"279" 500 15849 279
"280" 500 25119 280
"281" 500 39811 281
"282" 500 63096 282
"283" 500 1e+05 283
"284" 500 158489 284
"285" 500 251189 285
"286" 500 398107 286
"287" 500 630957 287
"288" 500 1e+06 288
"289" 500 1584893 289
"290" 500 2511886 290
"291" 500 3981072 291
"292" 500 6309573 292
"293" 500 1e+07 293
"294" 1000 1585 294
"295" 1000 2512 295
"296" 1000 3981 296
"297" 1000 6310 297
"298" 1000 10000 298
"299" 1000 15849 299
"300" 1000 25119 300
"301" 1000 39811 301
"302" 1000 63096 302
"303" 1000 1e+05 303
"304" 1000 158489 304
"305" 1000 251189 305
"306" 1000 398107 306
"307" 1000 630957 307
"308" 1000 1e+06 308
"309" 1000 1584893 309
"310" 1000 2511886 310
"311" 1000 3981072 311
"312" 1000 6309573 312
"313" 1000 1e+07 313
"314" 5000 6310 314
"315" 5000 10000 315
"316" 5000 15849 316
"317" 5000 25119 317
"318" 5000 39811 318
"319" 5000 63096 319
"320" 5000 1e+05 320
"321" 5000 158489 321
"322" 5000 251189 322
"323" 5000 398107 323
"324" 5000 630957 324
"325" 5000 1e+06 325
"326" 5000 1584893 326
"327" 5000 2511886 327
"328" 5000 3981072 328
"329" 5000 6309573 329
"330" 5000 1e+07 330
"331" 10000 15849 331
"332" 10000 25119 332
"333" 10000 39811 333
"334" 10000 63096 334
"335" 10000 1e+05 335
"336" 10000 158489 336
"337" 10000 251189 337
"338" 10000 398107 338
"339" 10000 630957 339
"340" 10000 1e+06 340
"341" 10000 1584893 341
"342" 10000 2511886 342
"343" 10000 3981072 343
"344" 10000 6309573 344
"345" 10000 1e+07 345
"346" 50 1000 346
"347" 50 1585 347
"348" 50 2512 348
"349" 50 3981 349
"350" 50 6310 350
"351" 50 10000 351
"352" 50 15849 352
"353" 50 25119 353
"354" 50 39811 354
"355" 50 63096 355
"356" 50 1e+05 356
"357" 50 158489 357
"358" 50 251189 358
"359" 50 398107 359
"360" 50 630957 360
"361" 50 1e+06 361
"362" 50 1584893 362
"363" 50 2511886 363
"364" 50 3981072 364
"365" 50 6309573 365
"366" 50 1e+07 366
"367" 100 1000 367
"368" 100 1585 368
"369" 100 2512 369
"370" 100 3981 370
"371" 100 6310 371
"372" 100 10000 372
"373" 100 15849 373
"374" 100 25119 374
"375" 100 39811 375
"376" 100 63096 376
"377" 100 1e+05 377
"378" 100 158489 378
"379" 100 251189 379
"380" 100 398107 380
"381" 100 630957 381
"382" 100 1e+06 382
"383" 100 1584893 383
"384" 100 2511886 384
"385" 100 3981072 385
"386" 100 6309573 386
"387" 100 1e+07 387
"388" 500 1000 388
"389" 500 1585 389
"390" 500 2512 390
"391" 500 3981 391
"392" 500 6310 392
"393" 500 10000 393
"394" 500 15849 394
"395" 500 25119 395
"396" 500 39811 396
"397" 500 63096 397
"398" 500 1e+05 398
"399" 500 158489 399
"400" 500 251189 400
"401" 500 398107 401
"402" 500 630957 402
"403" 500 1e+06 403
"404" 500 1584893 404
"405" 500 2511886 405
"406" 500 3981072 406
"407" 500 6309573 407
"408" 500 1e+07 408
"409" 1000 1585 409
"410" 1000 2512 410
"411" 1000 3981 411
"412" 1000 6310 412
"413" 1000 10000 413
"414" 1000 15849 414
"415" 1000 25119 415
"416" 1000 39811 416
"417" 1000 63096 417
"418" 1000 1e+05 418
"419" 1000 158489 419
"420" 1000 251189 420
"421" 1000 398107 421
"422" 1000 630957 422
"423" 1000 1e+06 423
"424" 1000 1584893 424
"425" 1000 2511886 425
"426" 1000 3981072 426
"427" 1000 6309573 427
"428" 1000 1e+07 428
"429" 5000 6310 429
"430" 5000 10000 430
"431" 5000 15849 431
"432" 5000 25119 432
"433" 5000 39811 433
"434" 5000 63096 434
"435" 5000 1e+05 435
"436" 5000 158489 436
"437" 5000 251189 437
"438" 5000 398107 438
"439" 5000 630957 439
"440" 5000 1e+06 440
"441" 5000 1584893 441
"442" 5000 2511886 442
"443" 5000 3981072 443
"444" 5000 6309573 444
"445" 5000 1e+07 445
"446" 10000 15849 446
"447" 10000 25119 447
"448" 10000 39811 448
"449" 10000 63096 449
"450" 10000 1e+05 450
"451" 10000 158489 451
"452" 10000 251189 452
"453" 10000 398107 453
"454" 10000 630957 454
"455" 10000 1e+06 455
"456" 10000 1584893 456
"457" 10000 2511886 457
"458" 10000 3981072 458
"459" 10000 6309573 459
"460" 10000 1e+07 460
"461" 50 1000 461
"462" 50 1585 462
"463" 50 2512 463
"464" 50 3981 464
"465" 50 6310 465
"466" 50 10000 466
"467" 50 15849 467
"468" 50 25119 468
"469" 50 39811 469
"470" 50 63096 470
"471" 50 1e+05 471
"472" 50 158489 472
"473" 50 251189 473
"474" 50 398107 474
"475" 50 630957 475
"476" 50 1e+06 476
"477" 50 1584893 477
"478" 50 2511886 478
"479" 50 3981072 479
"480" 50 6309573 480
"481" 50 1e+07 481
"482" 100 1000 482
"483" 100 1585 483
"484" 100 2512 484
"485" 100 3981 485
"486" 100 6310 486
"487" 100 10000 487
"488" 100 15849 488
"489" 100 25119 489
"490" 100 39811 490
"491" 100 63096 491
"492" 100 1e+05 492
"493" 100 158489 493
"494" 100 251189 494
"495" 100 398107 495
"496" 100 630957 496
"497" 100 1e+06 497
"498" 100 1584893 498
"499" 100 2511886 499
"500" 100 3981072 500
"501" 100 6309573 501
"502" 100 1e+07 502
"503" 500 1000 503
"504" 500 1585 504
"505" 500 2512 505
"506" 500 3981 506
"507" 500 6310 507
"508" 500 10000 508
"509" 500 15849 509
"510" 500 25119 510
"511" 500 39811 511
"512" 500 63096 512
"513" 500 1e+05 513
"514" 500 158489 514
"515" 500 251189 515
"516" 500 398107 516
"517" 500 630957 517
"518" 500 1e+06 518
"519" 500 1584893 519
"520" 500 2511886 520
"521" 500 3981072 521
"522" 500 6309573 522
"523" 500 1e+07 523
"524" 1000 1585 524
"525" 1000 2512 525
"526" 1000 3981 526
"527" 1000 6310 527
"528" 1000 10000 528
"529" 1000 15849 529
"530" 1000 25119 530
"531" 1000 39811 531
"532" 1000 63096 532
"533" 1000 1e+05 533
"534" 1000 158489 534
"535" 1000 251189 535
"536" 1000 398107 536
"537" 1000 630957 537
"538" 1000 1e+06 538
"539" 1000 1584893 539
"540" 1000 2511886 540
"541" 1000 3981072 541
"542" 1000 6309573 542
"543" 1000 1e+07 543
"544" 5000 6310 544
"545" 5000 10000 545
"546" 5000 15849 546
"547" 5000 25119 547
"548" 5000 39811 548
"549" 5000 63096 549
"550" 5000 1e+05 550
"551" 5000 158489 551
"552" 5000 251189 552
"553" 5000 398107 553
"554" 5000 630957 554
"555" 5000 1e+06 555
"556" 5000 1584893 556
"557" 5000 2511886 557
"558" 5000 3981072 558
"559" 5000 6309573 559
"560" 5000 1e+07 560
"561" 10000 15849 561
"562" 10000 25119 562
"563" 10000 39811 563
"564" 10000 63096 564
"565" 10000 1e+05 565
"566" 10000 158489 566
"567" 10000 251189 567
"568" 10000 398107 568
"569" 10000 630957 569
"570" 10000 1e+06 570
"571" 10000 1584893 571
"572" 10000 2511886 572
"573" 10000 3981072 573
"574" 10000 6309573 574
"575" 10000 1e+07 575
"576" 50 1000 576
"577" 50 1585 577
"578" 50 2512 578
"579" 50 3981 579
"580" 50 6310 580
"581" 50 10000 581
"582" 50 15849 582
"583" 50 25119 583
"584" 50 39811 584
"585" 50 63096 585
"586" 50 1e+05 586
"587" 50 158489 587
"588" 50 251189 588
"589" 50 398107 589
"590" 50 630957 590
"591" 50 1e+06 591
"592" 50 1584893 592
"593" 50 2511886 593
"594" 50 3981072 594
"595" 50 6309573 595
"596" 50 1e+07 596
"597" 100 1000 597
"598" 100 1585 598
"599" 100 2512 599
"600" 100 3981 600
"601" 100 6310 601
"602" 100 10000 602
"603" 100 15849 603
"604" 100 25119 604
"605" 100 39811 605
"606" 100 63096 606
"607" 100 1e+05 607
"608" 100 158489 608
"609" 100 251189 609
"610" 100 398107 610
"611" 100 630957 611
"612" 100 1e+06 612
"613" 100 1584893 613
"614" 100 2511886 614
"615" 100 3981072 615
"616" 100 6309573 616
"617" 100 1e+07 617
"618" 500 1000 618
"619" 500 1585 619
"620" 500 2512 620
"621" 500 3981 621
"622" 500 6310 622
"623" 500 10000 623
"624" 500 15849 624
"625" 500 25119 625
"626" 500 39811 626
"627" 500 63096 627
"628" 500 1e+05 628
"629" 500 158489 629
"630" 500 251189 630
"631" 500 398107 631
"632" 500 630957 632
"633" 500 1e+06 633
"634" 500 1584893 634
"635" 500 2511886 635
"636" 500 3981072 636
"637" 500 6309573 637
"638" 500 1e+07 638
"639" 1000 1585 639
"640" 1000 2512 640
"641" 1000 3981 641
"642" 1000 6310 642
"643" 1000 10000 643
"644" 1000 15849 644
"645" 1000 25119 645
"646" 1000 39811 646
"647" 1000 63096 647
"648" 1000 1e+05 648
"649" 1000 158489 649
"650" 1000 251189 650
"651" 1000 398107 651
"652" 1000 630957 652
"653" 1000 1e+06 653
"654" 1000 1584893 654
"655" 1000 2511886 655
"656" 1000 3981072 656
"657" 1000 6309573 657
"658" 1000 1e+07 658
"659" 5000 6310 659
"660" 5000 10000 660
"661" 5000 15849 661
"662" 5000 25119 662
"663" 5000 39811 663
"664" 5000 63096 664
"665" 5000 1e+05 665
"666" 5000 158489 666
"667" 5000 251189 667
"668" 5000 398107 668
"669" 5000 630957 669
"670" 5000 1e+06 670
"671" 5000 1584893 671
"672" 5000 2511886 672
"673" 5000 3981072 673
"674" 5000 6309573 674
"675" 5000 1e+07 675
"676" 10000 15849 676
"677" 10000 25119 677
"678" 10000 39811 678
"679" 10000 63096 679
"680" 10000 1e+05 680
"681" 10000 158489 681
"682" 10000 251189 682
"683" 10000 398107 683
"684" 10000 630957 684
"685" 10000 1e+06 685
"686" 10000 1584893 686
"687" 10000 2511886 687
"688" 10000 3981072 688
"689" 10000 6309573 689
"690" 10000 1e+07 690
"691" 50 1000 691
"692" 50 1585 692
"693" 50 2512 693
"694" 50 3981 694
"695" 50 6310 695
"696" 50 10000 696
"697" 50 15849 697
"698" 50 25119 698
"699" 50 39811 699
"700" 50 63096 700
"701" 50 1e+05 701
"702" 50 158489 702
"703" 50 251189 703
"704" 50 398107 704
"705" 50 630957 705
"706" 50 1e+06 706
"707" 50 1584893 707
"708" 50 2511886 708
"709" 50 3981072 709
"710" 50 6309573 710
"711" 50 1e+07 711
"712" 100 1000 712
"713" 100 1585 713
"714" 100 2512 714
"715" 100 3981 715
"716" 100 6310 716
"717" 100 10000 717
"718" 100 15849 718
"719" 100 25119 719
"720" 100 39811 720
"721" 100 63096 721
"722" 100 1e+05 722
"723" 100 158489 723
"724" 100 251189 724
"725" 100 398107 725
"726" 100 630957 726
"727" 100 1e+06 727
"728" 100 1584893 728
"729" 100 2511886 729
"730" 100 3981072 730
"731" 100 6309573 731
"732" 100 1e+07 732
"733" 500 1000 733
"734" 500 1585 734
"735" 500 2512 735
"736" 500 3981 736
"737" 500 6310 737
"738" 500 10000 738
"739" 500 15849 739
"740" 500 25119 740
"741" 500 39811 741
"742" 500 63096 742
"743" 500 1e+05 743
"744" 500 158489 744
"745" 500 251189 745
"746" 500 398107 746
"747" 500 630957 747
"748" 500 1e+06 748
"749" 500 1584893 749
"750" 500 2511886 750
"751" 500 3981072 751
"752" 500 6309573 752
"753" 500 1e+07 753
"754" 1000 1585 754
"755" 1000 2512 755
"756" 1000 3981 756
"757" 1000 6310 757
"758" 1000 10000 758
"759" 1000 15849 759
"760" 1000 25119 760
"761" 1000 39811 761
"762" 1000 63096 762
"763" 1000 1e+05 763
"764" 1000 158489 764
"765" 1000 251189 765
"766" 1000 398107 766
"767" 1000 630957 767
"768" 1000 1e+06 768
"769" 1000 1584893 769
"770" 1000 2511886 770
"771" 1000 3981072 771
"772" 1000 6309573 772
"773" 1000 1e+07 773
"774" 5000 6310 774
"775" 5000 10000 775
"776" 5000 15849 776
"777" 5000 25119 777
"778" 5000 39811 778
"779" 5000 63096 779
"780" 5000 1e+05 780
"781" 5000 158489 781
"782" 5000 251189 782
"783" 5000 398107 783
"784" 5000 630957 784
"785" 5000 1e+06 785
"786" 5000 1584893 786
"787" 5000 2511886 787
"788" 5000 3981072 788
"789" 5000 6309573 789
"790" 5000 1e+07 790
"791" 10000 15849 791
"792" 10000 25119 792
"793" 10000 39811 793
"794" 10000 63096 794
"795" 10000 1e+05 795
"796" 10000 158489 796
"797" 10000 251189 797
"798" 10000 398107 798
"799" 10000 630957 799
"800" 10000 1e+06 800
"801" 10000 1584893 801
"802" 10000 2511886 802
"803" 10000 3981072 803
"804" 10000 6309573 804
"805" 10000 1e+07 805
"806" 50 1000 806
"807" 50 1585 807
"808" 50 2512 808
"809" 50 3981 809
"810" 50 6310 810
"811" 50 10000 811
"812" 50 15849 812
"813" 50 25119 813
"814" 50 39811 814
"815" 50 63096 815
"816" 50 1e+05 816
"817" 50 158489 817
"818" 50 251189 818
"819" 50 398107 819
"820" 50 630957 820
"821" 50 1e+06 821
"822" 50 1584893 822
"823" 50 2511886 823
"824" 50 3981072 824
"825" 50 6309573 825
"826" 50 1e+07 826
"827" 100 1000 827
"828" 100 1585 828
"829" 100 2512 829
"830" 100 3981 830
"831" 100 6310 831
"832" 100 10000 832
"833" 100 15849 833
"834" 100 25119 834
"835" 100 39811 835
"836" 100 63096 836
"837" 100 1e+05 837
"838" 100 158489 838
"839" 100 251189 839
"840" 100 398107 840
"841" 100 630957 841
"842" 100 1e+06 842
"843" 100 1584893 843
"844" 100 2511886 844
"845" 100 3981072 845
"846" 100 6309573 846
"847" 100 1e+07 847
"848" 500 1000 848
"849" 500 1585 849
"850" 500 2512 850
"851" 500 3981 851
"852" 500 6310 852
"853" 500 10000 853
"854" 500 15849 854
"855" 500 25119 855
"856" 500 39811 856
"857" 500 63096 857
"858" 500 1e+05 858
"859" 500 158489 859
"860" 500 251189 860
"861" 500 398107 861
"862" 500 630957 862
"863" 500 1e+06 863
"864" 500 1584893 864
"865" 500 2511886 865
"866" 500 3981072 866
"867" 500 6309573 867
"868" 500 1e+07 868
"869" 1000 1585 869
"870" 1000 2512 870
"871" 1000 3981 871
"872" 1000 6310 872
"873" 1000 10000 873
"874" 1000 15849 874
"875" 1000 25119 875
"876" 1000 39811 876
"877" 1000 63096 877
"878" 1000 1e+05 878
"879" 1000 158489 879
"880" 1000 251189 880
"881" 1000 398107 881
"882" 1000 630957 882
"883" 1000 1e+06 883
