"V1" "V2" "V3"
"1" 100 1000 1
"2" 100 1585 2
"3" 100 2512 3
"4" 100 3981 4
"5" 100 6310 5
"6" 100 10000 6
"7" 100 15849 7
"8" 100 25119 8
"9" 100 39811 9
"10" 100 63096 10
"11" 100 1e+05 11
"12" 100 158489 12
"13" 100 251189 13
"14" 100 398107 14
"15" 100 630957 15
"16" 100 1e+06 16
"17" 100 1584893 17
"18" 100 2511886 18
"19" 100 3981072 19
"20" 100 6309573 20
"21" 1000 1585 21
"22" 1000 2512 22
"23" 1000 3981 23
"24" 1000 6310 24
"25" 1000 10000 25
"26" 1000 15849 26
"27" 1000 25119 27
"28" 1000 39811 28
"29" 1000 63096 29
"30" 1000 1e+05 30
"31" 1000 158489 31
"32" 1000 251189 32
"33" 1000 398107 33
"34" 1000 630957 34
"35" 1000 1e+06 35
"36" 1000 1584893 36
"37" 1000 2511886 37
"38" 1000 3981072 38
"39" 1000 6309573 39
"40" 10000 15849 40
"41" 10000 25119 41
"42" 10000 39811 42
"43" 10000 63096 43
"44" 10000 1e+05 44
"45" 10000 158489 45
"46" 10000 251189 46
"47" 10000 398107 47
"48" 10000 630957 48
"49" 10000 1e+06 49
"50" 10000 1584893 50
"51" 10000 2511886 51
"52" 10000 3981072 52
"53" 10000 6309573 53
"54" 100 1000 54
"55" 100 1585 55
"56" 100 2512 56
"57" 100 3981 57
"58" 100 6310 58
"59" 100 10000 59
"60" 100 15849 60
"61" 100 25119 61
"62" 100 39811 62
"63" 100 63096 63
"64" 100 1e+05 64
"65" 100 158489 65
"66" 100 251189 66
"67" 100 398107 67
"68" 100 630957 68
"69" 100 1e+06 69
"70" 100 1584893 70
"71" 100 2511886 71
"72" 100 3981072 72
"73" 100 6309573 73
"74" 1000 1585 74
"75" 1000 2512 75
"76" 1000 3981 76
"77" 1000 6310 77
"78" 1000 10000 78
"79" 1000 15849 79
"80" 1000 25119 80
"81" 1000 39811 81
"82" 1000 63096 82
"83" 1000 1e+05 83
"84" 1000 158489 84
"85" 1000 251189 85
"86" 1000 398107 86
"87" 1000 630957 87
"88" 1000 1e+06 88
"89" 1000 1584893 89
"90" 1000 2511886 90
"91" 1000 3981072 91
"92" 1000 6309573 92
"93" 10000 15849 93
"94" 10000 25119 94
"95" 10000 39811 95
"96" 10000 63096 96
"97" 10000 1e+05 97
"98" 10000 158489 98
"99" 10000 251189 99
"100" 10000 398107 100
"101" 10000 630957 101
"102" 10000 1e+06 102
"103" 10000 1584893 103
"104" 10000 2511886 104
"105" 10000 3981072 105
"106" 10000 6309573 106
"107" 100 1000 107
"108" 100 1585 108
"109" 100 2512 109
"110" 100 3981 110
"111" 100 6310 111
"112" 100 10000 112
"113" 100 15849 113
"114" 100 25119 114
"115" 100 39811 115
"116" 100 63096 116
"117" 100 1e+05 117
"118" 100 158489 118
"119" 100 251189 119
"120" 100 398107 120
"121" 100 630957 121
"122" 100 1e+06 122
"123" 100 1584893 123
"124" 100 2511886 124
"125" 100 3981072 125
"126" 100 6309573 126
"127" 1000 1585 127
"128" 1000 2512 128
"129" 1000 3981 129
"130" 1000 6310 130
"131" 1000 10000 131
"132" 1000 15849 132
"133" 1000 25119 133
"134" 1000 39811 134
"135" 1000 63096 135
"136" 1000 1e+05 136
"137" 1000 158489 137
"138" 1000 251189 138
"139" 1000 398107 139
"140" 1000 630957 140
"141" 1000 1e+06 141
"142" 1000 1584893 142
"143" 1000 2511886 143
"144" 1000 3981072 144
"145" 1000 6309573 145
"146" 10000 15849 146
"147" 10000 25119 147
"148" 10000 39811 148
"149" 10000 63096 149
"150" 10000 1e+05 150
"151" 10000 158489 151
"152" 10000 251189 152
"153" 10000 398107 153
"154" 10000 630957 154
"155" 10000 1e+06 155
"156" 10000 1584893 156
"157" 10000 2511886 157
"158" 10000 3981072 158
"159" 10000 6309573 159
"160" 100 1000 160
"161" 100 1585 161
"162" 100 2512 162
"163" 100 3981 163
"164" 100 6310 164
"165" 100 10000 165
"166" 100 15849 166
"167" 100 25119 167
"168" 100 39811 168
"169" 100 63096 169
"170" 100 1e+05 170
"171" 100 158489 171
"172" 100 251189 172
"173" 100 398107 173
"174" 100 630957 174
"175" 100 1e+06 175
"176" 100 1584893 176
"177" 100 2511886 177
"178" 100 3981072 178
"179" 100 6309573 179
"180" 1000 1585 180
"181" 1000 2512 181
"182" 1000 3981 182
"183" 1000 6310 183
"184" 1000 10000 184
"185" 1000 15849 185
"186" 1000 25119 186
"187" 1000 39811 187
"188" 1000 63096 188
"189" 1000 1e+05 189
"190" 1000 158489 190
"191" 1000 251189 191
"192" 1000 398107 192
"193" 1000 630957 193
"194" 1000 1e+06 194
"195" 1000 1584893 195
"196" 1000 2511886 196
